"seed","shape","scale"
1,0.07789574,4.89463083
2,0.07286296,4.97917218
3,0.11293385,4.76848343
4,0.12273636,4.89297746
5,0.13145862,4.92067621
6,0.25582409,0.0765468
7,0.98907728,0.00302563
8,0.11930242,4.63313708
9,0.13238326,4.98950097
10,0.32347567,0.02918211
11,0.10044653,4.16825483
12,0.16624486,0.51684616
13,0.09256165,4.52937126
14,0.09116967,4.95978095
15,0.09701545,4.53878807
16,0.10048536,4.58473412
17,0.1151953,0.41242791
18,0.10076001,4.38367378
19,0.1010994,4.47933479
20,0.29866257,0.03293158
21,0.99544052,0.00242431
22,0.10285568,4.54416766
23,0.24506175,0.17654222
24,0.48386575,0.01274677
25,0.26180679,0.09744531
26,0.57108966,0.0078633
27,0.08981649,4.73738622
28,0.08685614,4.96893567
29,0.11612121,4.4712932
30,0.126568,4.77843396
31,0.15799307,0.62367787
32,0.23728305,0.1024994
33,0.16856782,0.50164989
34,0.08932178,4.5223322
35,0.10353024,4.74011972
36,0.10370632,4.30456677
37,0.10332627,4.69559097
38,0.18673425,0.18667872
39,0.19418309,0.13192421
40,0.08605266,4.63177965
41,0.0675115,4.73777077
42,0.10069121,4.87016952
43,0.22140537,0.08069353
44,0.23703795,0.21500988
45,0.10501361,4.73120107
46,0.11627371,4.60342797
47,0.10837445,4.70622389
48,0.11282783,4.73410128
49,0.13947076,4.48166382
50,0.10862258,4.91345036
51,0.07302351,3.93381582
52,0.10424748,4.46588716
53,0.09508871,4.81763421
54,0.21057003,0.18752228
55,0.10561443,4.88094447
56,0.11418151,4.40555093
57,0.08654885,1.22502069
58,0.09111343,4.67083659
59,0.95488468,0.00293425
60,0.22805603,0.12082771
61,0.1057991,4.93720575
62,0.11139508,4.5902916
63,0.09519157,4.77720569
64,0.13595896,4.88981364
65,0.11520386,4.91819884
66,0.09410214,4.9550153
67,0.63545483,0.00534735
68,0.09200108,4.75711164
69,0.12308103,4.9102316
70,0.10158627,4.92632518
71,0.08177813,4.96254549
72,0.11070819,4.39187908
73,0.25041987,0.06219235
74,0.14251235,1.45756424
75,0.10747712,4.9038163
76,0.10273246,4.47906648
77,0.0802781,4.74673562
78,0.09799396,3.15040833
79,0.0688919,4.97631484
80,0.09319744,4.723025
81,0.08619396,4.04006559
82,0.09469124,4.97632593
83,0.11983808,4.51241869
84,0.2075448,0.1063697
85,0.08764155,4.98108278
86,0.08258483,4.69009147
87,0.28308095,0.03334072
88,0.11805776,4.89631536
89,0.12556262,4.77679273
90,0.10825814,4.37782324
91,0.13365979,1.66040666
92,0.1253986,4.9887309
93,0.12746631,4.82917531
94,0.20059019,0.21905005
95,0.14366851,0.45255971
96,0.10350723,4.63137293
97,0.09058657,4.81415082
98,0.31678293,0.0355874
99,0.09901271,4.6640318
100,0.38231958,0.03558837
